shp,spei,model,dec,period,r2,mape,mae,rmse,mse
shp-10,spei-3,RNN,None,val,0.252515852,270.2041626,0.65353036,0.8583898,0.73683304
shp-10,spei-3,RNN,VMD,test,0.669834107,248.5491991,0.4778074,0.60909736,0.3709996
shp-10,spei-3,RNN,VMD,train,0.764844581,1453.121853,0.37796074,0.47826612,0.22873847
shp-10,spei-3,RNN,VMD,val,0.64750275,152.4953246,0.45618105,0.5894696,0.34747443
shp-10,spei-3,TCN,EEMD,test,0.690582722,221.779418,0.4708695,0.5896481,0.3476849
shp-10,spei-3,TCN,EEMD,train,0.771017075,566.9543266,0.37540078,0.47194746,0.2227344
shp-10,spei-3,TCN,EEMD,val,0.708064765,251.0064125,0.41153312,0.536447,0.28777537
shp-10,spei-3,TCN,None,test,0.082281113,336.2317801,0.7341278,1.0154896,1.031219
shp-10,spei-3,TCN,None,train,0.413533449,507.92346,0.6007273,0.75529,0.57046294
shp-10,spei-3,TCN,None,val,0.286247075,274.7748613,0.6710601,0.8387982,0.70358247
shp-10,spei-3,TCN,VMD,test,0.623583317,213.9356613,0.5226209,0.65036184,0.42297053
shp-10,spei-3,TCN,VMD,train,0.717866242,1152.473354,0.4112549,0.5238653,0.27443483
shp-10,spei-3,TCN,VMD,val,0.564295143,223.3717918,0.50544983,0.65535975,0.42949638
shp-10,spei-6,LSTM,EEMD,test,0.589859456,721.4613438,0.43067312,0.6015945,0.36191592
shp-10,spei-6,LSTM,EEMD,train,0.902756639,5550.185776,0.24489817,0.31066674,0.09651383
shp-10,spei-6,LSTM,EEMD,val,0.762522027,82.59699941,0.3424069,0.45356214,0.20571862
shp-10,spei-6,LSTM,None,test,0.326021314,235.1133108,0.59181756,0.77118856,0.59473175
shp-10,spei-6,LSTM,None,train,0.594550729,5172.485733,0.4901201,0.634356,0.40240756
shp-10,spei-6,LSTM,None,val,0.287165701,142.2015905,0.5737092,0.7858134,0.6175027
shp-10,spei-6,LSTM,VMD,test,0.62728408,92.07755923,0.45754316,0.5734908,0.32889172
shp-10,spei-6,LSTM,VMD,train,0.787327021,7873.312378,0.35819635,0.4594317,0.21107748
shp-10,spei-6,LSTM,VMD,val,0.565955579,124.0773201,0.4470479,0.613186,0.37599707
shp-10,spei-6,RNN,EEMD,test,0.620857358,692.5302505,0.41285667,0.578414,0.33456278
shp-10,spei-6,RNN,EEMD,train,0.929460548,1851.311302,0.20420584,0.26459453,0.07001026
shp-10,spei-6,RNN,EEMD,val,0.817772105,77.58686543,0.29358488,0.3973128,0.15785746
shp-10,spei-6,RNN,None,test,0.261223912,239.9364233,0.62127745,0.8074096,0.65191025
shp-10,spei-6,RNN,None,train,0.634554893,7813.17749,0.4581876,0.6022487,0.3627035
shp-10,spei-6,RNN,None,val,0.275264323,136.4358902,0.5884917,0.7923462,0.62781245
shp-10,spei-6,RNN,VMD,test,0.72163409,93.7194407,0.39570343,0.49561623,0.24563545
shp-10,spei-6,RNN,VMD,train,0.852621496,2684.960938,0.2900192,0.38245633,0.14627285
shp-10,spei-6,RNN,VMD,val,0.720428765,95.31149268,0.37485686,0.49212041,0.24218251
shp-10,spei-6,TCN,EEMD,test,0.690677166,612.4255657,0.38533726,0.5224485,0.2729524
shp-10,spei-6,TCN,EEMD,train,0.881583981,6780.651855,0.26966327,0.34282306,0.11752765
shp-10,spei-6,TCN,EEMD,val,0.810719386,82.44153857,0.28857303,0.40492836,0.16396698
shp-10,spei-6,TCN,None,test,0.246938765,208.0178499,0.643644,0.81517833,0.66451573
shp-10,spei-6,TCN,None,train,0.593828082,7085.919952,0.48681474,0.6349211,0.40312478
shp-10,spei-6,TCN,None,val,0.259306371,153.9006352,0.59443647,0.801022,0.64163625
shp-10,spei-6,TCN,VMD,test,0.524941623,205.8079004,0.47329602,0.64745706,0.41920066
shp-10,spei-6,TCN,VMD,train,0.773517922,9888.053131,0.363677,0.47411284,0.22478299
shp-10,spei-6,TCN,VMD,val,0.513205558,125.4132867,0.48865947,0.64937854,0.4216925
shp-10,spei-9,LSTM,EEMD,test,0.919068813,117.3220277,0.20577343,0.25489268,0.06497028
shp-10,spei-9,LSTM,EEMD,train,0.962618712,127.5439262,0.14181884,0.19320716,0.037329007
shp-10,spei-9,LSTM,EEMD,val,0.80910556,179.3859959,0.26743373,0.36548552,0.13357966
shp-10,spei-9,LSTM,None,test,0.578223795,90.70019722,0.46660495,0.5818894,0.33859527
shp-10,spei-9,LSTM,None,train,0.76356487,417.8206444,0.35244447,0.48590583,0.23610447
shp-10,spei-9,LSTM,None,val,0.364608467,363.1629467,0.4729376,0.66679794,0.44461948
shp-10,spei-9,LSTM,VMD,test,0.845982492,96.70655727,0.28517023,0.3516288,0.123642825
shp-10,spei-9,LSTM,VMD,train,0.920671821,154.3563008,0.21254101,0.28145558,0.07921724
shp-10,spei-9,LSTM,VMD,val,0.712792784,338.8472319,0.3044464,0.44830257,0.20097518
shp-10,spei-9,RNN,EEMD,test,0.953591127,50.01096725,0.15546809,0.19301894,0.03725631
shp-10,spei-9,RNN,EEMD,train,0.96918105,108.0260873,0.12693453,0.17543046,0.030775849
shp-10,spei-9,RNN,EEMD,val,0.886910297,171.7871428,0.19995426,0.28130993,0.07913528
shp-10,spei-9,RNN,None,test,0.629851341,117.9543853,0.4433584,0.5451142,0.2971495
shp-10,spei-9,RNN,None,train,0.787931755,371.8318462,0.33226252,0.46018654,0.21177165
shp-10,spei-9,RNN,None,val,0.403155744,485.5907917,0.42992443,0.6462552,0.41764575
shp-10,spei-9,RNN,VMD,test,0.868084356,70.2157259,0.25594762,0.3254225,0.1058998
shp-10,spei-9,RNN,VMD,train,0.916346699,177.5709391,0.21720514,0.2890265,0.08353631
shp-10,spei-9,RNN,VMD,val,0.77063258,418.345499,0.2575705,0.40062624,0.16050139
shp-10,spei-9,TCN,EEMD,test,0.898046412,67.47525334,0.22805488,0.28608868,0.08184673
shp-10,spei-9,TCN,EEMD,train,0.919231534,215.9306288,0.20410606,0.28399915,0.08065551
shp-10,spei-9,TCN,EEMD,val,0.841276109,143.2538152,0.22344711,0.33326882,0.11106811
shp-10,spei-9,TCN,None,test,0.485714912,128.1510234,0.51195186,0.64254177,0.41285995
shp-10,spei-9,TCN,None,train,0.765336022,335.5807543,0.34880927,0.4840824,0.23433578
shp-10,spei-9,TCN,None,val,0.35558635,489.6696091,0.44510156,0.6715153,0.45093277
shp-10,spei-9,TCN,VMD,test,0.743506044,84.94089246,0.35422778,0.4537723,0.2059093
shp-10,spei-9,TCN,VMD,train,0.854191929,418.7251091,0.29874536,0.38158113,0.14560415
shp-10,spei-9,TCN,VMD,val,0.562122613,486.3002777,0.38964006,0.553541,0.30640763
shp-11,spei-1,LSTM,EEMD,test,0.490073562,788.2719517,0.63909096,0.784489,0.61542296
shp-11,spei-1,LSTM,EEMD,train,0.612557083,184.9052787,0.42562395,0.5427521,0.29457983
shp-11,spei-1,LSTM,EEMD,val,0.542170584,125.8593202,0.5076763,0.6218422,0.38668776
shp-11,spei-1,LSTM,None,test,0,249.7817278,0.9104924,1.1860657,1.4067518
shp-11,spei-1,LSTM,None,train,0.018081784,108.3964229,0.6731483,0.8640429,0.74657005
shp-11,spei-1,LSTM,None,val,0.001339316,112.8311753,0.75675917,0.91841155,0.8434798
shp-11,spei-1,LSTM,VMD,test,0.393540323,1005.082035,0.6974087,0.85552764,0.7319276
shp-11,spei-1,LSTM,VMD,train,0.52130127,161.9964957,0.47463617,0.60329366,0.36396325
shp-11,spei-1,LSTM,VMD,val,0.51466012,97.34008908,0.49535027,0.6402526,0.4099234
shp-11,spei-1,RNN,EEMD,test,0.527721405,917.0203209,0.607265,0.7549744,0.56998634
shp-11,spei-1,RNN,EEMD,train,0.673088372,140.2957678,0.38209522,0.4985547,0.2485568
shp-11,spei-1,RNN,EEMD,val,0.647270799,130.729425,0.4513186,0.5458195,0.29791898
